product_name,brand,current_price,original_mrp,discount_pct,rating,ratings_count,review_count,scraped_at,page_number
"vivo T5x 5G (Star Silver, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:20,1
"vivo T5x 5G (Cyber Green, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:20,1
"realme P4 Lite 5G (Mosaic Green, 64 GB)",Realme,15499,28999.0,46.0,4.3,8068,414,2026-06-30 16:02:20,1
"vivo T5x 5G (Cyber Green, 256 GB)",Vivo,26999,33999.0,20.0,4.4,14728,981,2026-06-30 16:02:20,1
"vivo T5x 5G (Cyber Green, 128 GB)",Vivo,24999,30999.0,19.0,4.4,14728,981,2026-06-30 16:02:20,1
"vivo T5 Pro 5G (Glacier Blue, 128 GB)",Vivo,32999,55999.0,41.0,4.5,5729,493,2026-06-30 16:02:20,1
"vivo T5x 5G (Star Silver, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:20,1
"Samsung M06 5G (Sage Green, 128 GB)",Samsung,11829,15499.0,23.0,4.1,3425,196,2026-06-30 16:02:20,1
"realme P4 5G (Steel Grey, 128 GB)",Realme,21999,,,4.4,20059,1407,2026-06-30 16:02:20,1
"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10499,10999.0,4.0,4.3,4244,188,2026-06-30 16:02:20,1
"vivo T5x 5G (Cyber Green, 256 GB)",Vivo,26999,33999.0,20.0,4.4,14728,981,2026-06-30 16:02:20,1
"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB)",Motorola,15999,30499.0,47.0,4.2,914,148,2026-06-30 16:02:20,1
"vivo T5x 5G (Cyber Green, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:20,1
"MOTOROLA g06 power (Pantone tapestry, 64 GB)",Motorola,12999,19999.0,35.0,4.2,19525,1147,2026-06-30 16:02:20,1
"Samsung Galaxy F36 5G (Black, 128 GB)",Samsung,17999,25499.0,29.0,4.3,11643,793,2026-06-30 16:02:20,1
"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",Motorola,14999,24999.0,40.0,4.3,853,53,2026-06-30 16:02:20,1
Vivo T4 Lite 5G (Prism Blue 2026) ( 4GB 64GB),Vivo,14999,27999.0,46.0,4.3,37612,1322,2026-06-30 16:02:20,1
"realme P4 Lite (Sea Blue, 64 GB)",Realme,12999,24999.0,48.0,4.0,3412,188,2026-06-30 16:02:20,1
"realme P4x 5G (Matte Silver, 128 GB)",Realme,22999,38999.0,41.0,4.3,12592,909,2026-06-30 16:02:20,1
Vivo T4 Lite 5G (Titanium Gold 2026) (4GB 128GB),Vivo,16999,28999.0,41.0,4.3,37612,1322,2026-06-30 16:02:20,1
"realme P4R 5G (Silver Glare, 256 GB)",Realme,22999,44999.0,48.0,4.5,1148,75,2026-06-30 16:02:20,1
"realme P4 Lite (Beach Gold, 64 GB)",Realme,12999,24999.0,48.0,4.0,3412,188,2026-06-30 16:02:20,1
"POCO M8 (Frost Silver, 128 GB)",POCO,18000,25999.0,30.0,4.3,2014,182,2026-06-30 16:02:20,1
"Apple iPhone 15 (Black, 128 GB)",Apple,59400,59900.0,,4.6,246492,9275,2026-06-30 16:02:20,1
"REDMI 15 5G (Sandy Purple, 128 GB)",Redmi,18880,24490.0,22.0,4.3,2657,160,2026-06-30 16:02:24,2
"MOTOROLA g37 (PANTONE Nautical Blue, 64 GB)",Motorola,14999,24999.0,40.0,4.3,853,53,2026-06-30 16:02:24,2
"vivo T5x 5G (Cyber Green, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:24,2
"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",OnePlus,24515,31999.0,23.0,4.3,467,28,2026-06-30 16:02:24,2
"Ai+ Pulse 2 (Blue, 64 GB)",Ai+,10499,10999.0,4.0,4.3,4244,188,2026-06-30 16:02:24,2
"realme P4R 5G (Silver Glare, 128 GB)",Realme,18999,34999.0,45.0,4.4,495,50,2026-06-30 16:02:24,2
Vivo T4 Lite 5G (Titanium Gold 2026) (4GB 64GB),Vivo,14999,27999.0,46.0,4.3,37612,1322,2026-06-30 16:02:24,2
"POCO C81 (Sunset Gold, 64 GB)",POCO,11999,19999.0,40.0,3.8,205,15,2026-06-30 16:02:24,2
"Samsung Galaxy F36 5G (Black, 128 GB)",Samsung,19999,26999.0,25.0,4.2,6243,459,2026-06-30 16:02:24,2
"POCO M8 (Glacial Blue, 128 GB)",POCO,18000,25999.0,30.0,4.3,2014,182,2026-06-30 16:02:24,2
"POCO C81x (Crystal Black, 64 GB)",POCO,10999,18999.0,42.0,4.1,250,14,2026-06-30 16:02:24,2
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",Motorola,29999,36999.0,18.0,4.3,53635,4034,2026-06-30 16:02:24,2
"vivo T4R 5G (Arctic White, 256 GB)",Vivo,23999,24999.0,4.0,4.4,52844,2912,2026-06-30 16:02:24,2
"Samsung M06 5G (Sage Green, 128 GB)",Samsung,14100,16999.0,17.0,4.1,1966,115,2026-06-30 16:02:24,2
"POCO M8 (Frost Silver, 256 GB)",POCO,22000,29999.0,26.0,4.4,1578,143,2026-06-30 16:02:24,2
"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",OnePlus,25134,33999.0,26.0,4.3,225,14,2026-06-30 16:02:24,2
"realme P4R 5G (Lavender Glare, 128 GB)",Realme,19999,39999.0,50.0,4.5,1148,75,2026-06-30 16:02:24,2
"POCO C81x (Ice Blue, 64 GB)",POCO,10999,18999.0,42.0,4.1,250,14,2026-06-30 16:02:24,2
"OPPO K14x 5G (Prism Violet, 64 GB)",OPPO,15999,19999.0,20.0,4.3,4858,264,2026-06-30 16:02:24,2
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Samsung,13500,15499.0,12.0,4.2,25127,1695,2026-06-30 16:02:24,2
"Infinix GT 30 5G+ Pulse Green 256 (Pulse Green, 256 GB)",Infinix,18499,26999.0,31.0,4.4,394,30,2026-06-30 16:02:24,2
"POCO M8 (Glacial Blue, 256 GB)",POCO,22000,29999.0,26.0,4.4,1578,143,2026-06-30 16:02:24,2
"OPPO K14 5G (Prism Violet, 256 GB)",OPPO,23999,29999.0,20.0,4.3,932,68,2026-06-30 16:02:24,2
"POCO M8 (Carbon Black, 128 GB)",POCO,18000,25999.0,30.0,4.3,2014,182,2026-06-30 16:02:24,2
"POCO C85x (Emerald Green, 64 GB)",POCO,12499,20999.0,40.0,4.1,2765,133,2026-06-30 16:02:28,3
"POCO M8 (Glacial Blue, 256 GB)",POCO,22000,29999.0,26.0,4.4,1578,143,2026-06-30 16:02:28,3
"vivo T5x 5G (Star Silver, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:28,3
"vivo T5x 5G (Cyber Green, 128 GB)",Vivo,22999,28999.0,20.0,4.4,12342,703,2026-06-30 16:02:28,3
"OPPO K14 5G (Prism Violet, 256 GB)",OPPO,23999,29999.0,20.0,4.3,932,68,2026-06-30 16:02:28,3
"POCO M8 (Carbon Black, 128 GB)",POCO,18000,25999.0,30.0,4.3,2014,182,2026-06-30 16:02:28,3
"realme P4R 5G (Titanium Glare, 128 GB)",Realme,18999,34999.0,45.0,4.4,495,50,2026-06-30 16:02:28,3
"realme P4R 5G (Lavender Glare, 128 GB)",Realme,18999,34999.0,45.0,4.4,495,50,2026-06-30 16:02:28,3
